framework,mode,n_jobs,steps,n_episodes,wall_sec,sec_per_ep
Mesa,sequential,1,150,5,0.007,0.0014
Mesa,sequential,1,150,20,0.024,0.0012
Mesa,sequential,1,150,50,0.05,0.001
Mesa,sequential,1,150,100,0.093,0.0009
HEAS,sequential,1,150,5,0.025,0.005
HEAS,sequential,1,150,20,0.073,0.0037
HEAS,sequential,1,150,50,0.177,0.0035
HEAS,sequential,1,150,100,0.354,0.0035
HEAS,parallel,4,150,5,8.999,1.7997
HEAS,parallel,4,150,20,9.091,0.4545
HEAS,parallel,4,150,50,9.32,0.1864
HEAS,parallel,4,150,100,9.276,0.0928
HEAS,sequential,1,200,5,0.022,0.0043
HEAS,sequential,1,200,20,0.075,0.0037
HEAS,sequential,1,200,50,0.191,0.0038
HEAS,sequential,1,200,100,0.385,0.0039
HEAS,parallel,4,200,5,9.413,1.8826
HEAS,parallel,4,200,20,9.462,0.4731
HEAS,parallel,4,200,50,9.422,0.1884
HEAS,parallel,4,200,100,9.353,0.0935
HEAS,sequential,1,500,5,0.03,0.006
HEAS,sequential,1,500,20,0.118,0.0059
HEAS,sequential,1,500,50,0.317,0.0063
HEAS,sequential,1,500,100,0.642,0.0064
HEAS,parallel,4,500,5,8.95,1.7901
HEAS,parallel,4,500,20,9.112,0.4556
HEAS,parallel,4,500,50,9.247,0.1849
HEAS,parallel,4,500,100,9.545,0.0955
