split,sc_id,frag,shock,K,move_cost,champ_biomass,ref_biomass,delta,win
ood,0,0.65,0.35,200.0,0.45,201.47550755646878,200.06816374776636,1.4073438087024215,1
ood,1,0.65,0.35,200.0,0.6,201.47550755646878,200.06816374776636,1.4073438087024215,1
ood,2,0.65,0.35,400.0,0.45,401.9795675968589,398.9782739696411,3.0012936272177626,1
ood,3,0.65,0.35,400.0,0.6,401.9795675968589,398.9782739696411,3.0012936272177626,1
ood,4,0.65,0.35,600.0,0.45,601.8165244107497,596.4198677983474,5.396656612402353,1
ood,5,0.65,0.35,600.0,0.6,601.8165244107497,596.4198677983474,5.396656612402353,1
ood,6,0.65,0.5,200.0,0.45,201.47272291920177,200.06654759152613,1.4061753276756406,1
ood,7,0.65,0.5,200.0,0.6,201.47272291920177,200.06654759152613,1.4061753276756406,1
ood,8,0.65,0.5,400.0,0.45,401.9715862951492,398.9738781881488,2.9977081070004488,1
ood,9,0.65,0.5,400.0,0.6,401.9715862951492,398.9738781881488,2.9977081070004488,1
ood,10,0.65,0.5,600.0,0.45,601.8070634880917,596.4166312250529,5.390432263038747,1
ood,11,0.65,0.5,600.0,0.6,601.8070634880917,596.4166312250529,5.390432263038747,1
ood,12,0.8,0.35,200.0,0.45,201.4769498825455,200.07704568536218,1.3999041971833321,1
ood,13,0.8,0.35,200.0,0.6,201.4769498825455,200.07704568536218,1.3999041971833321,1
ood,14,0.8,0.35,400.0,0.45,401.98357355583863,399.001848485931,2.981725069907611,1
ood,15,0.8,0.35,400.0,0.6,401.98357355583863,399.001848485931,2.981725069907611,1
ood,16,0.8,0.35,600.0,0.45,601.8282278906216,596.4804651624843,5.347762728137354,1
ood,17,0.8,0.35,600.0,0.6,601.8282278906216,596.4804651624843,5.347762728137354,1
ood,18,0.8,0.5,200.0,0.45,201.47415895184324,200.0753922345395,1.3987667173037437,1
ood,19,0.8,0.5,200.0,0.6,201.47415895184324,200.0753922345395,1.3987667173037437,1
ood,20,0.8,0.5,400.0,0.45,401.97557203017294,398.9973429619799,2.978229068193059,1
ood,21,0.8,0.5,400.0,0.6,401.97557203017294,398.9973429619799,2.978229068193059,1
ood,22,0.8,0.5,600.0,0.45,601.8187271950294,596.4770582591933,5.341668935836083,1
ood,23,0.8,0.5,600.0,0.6,601.8187271950294,596.4770582591933,5.341668935836083,1
in_dist,0,0.1,0.03,60.0,0.08,60.54006735316106,60.11445672326314,0.42561062989791765,1
in_dist,1,0.1,0.03,60.0,0.12,60.54006735316106,60.11445672326314,0.42561062989791765,1
in_dist,2,0.1,0.03,100.0,0.08,100.89438114112451,100.1888379335511,0.7055432075734132,1
in_dist,3,0.1,0.03,100.0,0.12,100.89438114112451,100.1888379335511,0.7055432075734132,1
in_dist,4,0.1,0.07,60.0,0.08,60.54006735315536,60.114456723227704,0.42561062992765386,1
in_dist,5,0.1,0.07,60.0,0.12,60.54006735315536,60.114456723227704,0.42561062992765386,1
in_dist,6,0.1,0.07,100.0,0.08,100.89438114109406,100.18883793336275,0.70554320773131,1
in_dist,7,0.1,0.07,100.0,0.12,100.89438114109406,100.18883793336275,0.70554320773131,1
in_dist,8,0.3,0.03,60.0,0.08,60.540600660485936,60.11784477341232,0.4227558870736132,1
in_dist,9,0.3,0.03,60.0,0.12,60.540600660485936,60.11784477341232,0.4227558870736132,1
in_dist,10,0.3,0.03,100.0,0.08,100.89525272680987,100.19428732874745,0.7009653980624222,1
in_dist,11,0.3,0.03,100.0,0.12,100.89525272680987,100.19428732874745,0.7009653980624222,1
in_dist,12,0.3,0.07,60.0,0.08,60.540600660480436,60.11784477337809,0.42275588710234757,1
in_dist,13,0.3,0.07,60.0,0.12,60.540600660480436,60.11784477337809,0.42275588710234757,1
in_dist,14,0.3,0.07,100.0,0.08,100.89525272678046,100.19428732856541,0.7009653982150468,1
in_dist,15,0.3,0.07,100.0,0.12,100.89525272678046,100.19428732856541,0.7009653982150468,1
